subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll
0,0,0,1,1.0,-1.0,1.0,numberbar_mixed,-1.5,0.5
0,0,1,0,0.0,-1.0,1.0,numberbar_mixed,-1.5,0.9226802377039232
0,0,2,1,1.0,-1.0,1.0,numberbar_mixed,-0.6577406867052058,0.5
0,0,3,0,0.0,1.0,1.0,numberbar_mixed,1.3422593132947942,0.7478488536151705
0,0,4,0,0.0,1.0,1.0,numberbar_mixed,0.5885723749753172,0.9646264834278414
0,0,5,0,0.0,1.0,1.0,numberbar_mixed,0.25808533206131934,0.9863277734581186
0,0,6,0,0.0,1.0,1.0,numberbar_mixed,0.11316881569236881,0.9910331057246299
0,0,7,0,0.0,1.0,1.0,numberbar_mixed,0.049623823031409,0.9925514836820956
0,0,8,0,0.0,1.0,1.0,numberbar_mixed,0.02175973829174438,0.9931340189474429
0,0,9,0,0.0,1.0,1.0,numberbar_mixed,0.009541510137691667,0.9933749687126561
0,0,10,0,0.0,1.0,1.0,numberbar_mixed,0.004183892953446677,0.9934779567481793
0,0,11,0,0.0,1.0,1.0,numberbar_mixed,0.0018346110828674211,0.993522613260971
0,0,12,0,0.0,-1.0,0.0,numberbar_mixed,-1.9991955344310117,0.993542098934916
0,0,13,0,0.0,-1.0,0.0,numberbar_mixed,-0.8766348291164231,0.8496072825705042
0,0,14,0,0.0,1.0,0.0,numberbar_mixed,1.6156010703381753,0.5701698989455012
0,0,15,0,0.0,-1.0,0.0,numberbar_mixed,-1.2915689617027355,0.9504028811340243
0,0,16,0,0.0,-1.0,0.0,numberbar_mixed,-0.5663449705316578,0.6938399695138754
0,0,17,1,1.0,1.0,0.0,numberbar_mixed,1.7115847927017096,0.5294588023355693
0,0,18,1,1.0,1.0,0.0,numberbar_mixed,0.7505193046038732,0.9501229833971184
0,0,19,1,1.0,1.0,0.0,numberbar_mixed,0.3290980551971101,0.985043739275984
0,0,20,1,1.0,1.0,0.0,numberbar_mixed,0.1443074538791299,0.9912639139083729
0,0,21,1,1.0,1.0,0.0,numberbar_mixed,0.06327792254075915,0.9931050192995634
0,0,22,1,1.0,1.0,0.0,numberbar_mixed,0.02774697615015853,0.9937854873771893
0,0,23,1,1.0,1.0,0.0,numberbar_mixed,0.012166876764665546,0.9940624104400295
0,0,24,1,1.0,-1.0,1.0,numberbar_mixed,-1.9946649000811676,0.9941799376122546
0,0,25,1,1.0,-1.0,1.0,numberbar_mixed,-0.8746481740841051,0.8633795810652096
0,0,26,1,1.0,-1.0,1.0,numberbar_mixed,-0.38352779376502244,0.5981954760902182
0,0,27,1,1.0,-1.0,1.0,numberbar_mixed,-0.16817455629435896,0.4412780145557945
0,0,28,1,1.0,-1.0,1.0,numberbar_mixed,-0.07374349876226327,0.3742678358251855
0,0,29,0,0.0,-1.0,1.0,numberbar_mixed,-0.24833875321968812,0.6538126065690565
0,0,30,1,1.0,-1.0,1.0,numberbar_mixed,-0.032336066343957026,0.44389620113531775
0,0,31,0,0.0,1.0,1.0,numberbar_mixed,1.8911049986145119,0.5692549783733107
0,0,32,0,0.0,1.0,1.0,numberbar_mixed,0.8292378002802375,0.9678479364061494
0,0,33,0,0.0,1.0,1.0,numberbar_mixed,0.3636156267988251,0.9916344810166398
0,0,34,0,0.0,1.0,1.0,numberbar_mixed,0.15944319471160207,0.995396170602298
0,1,0,0,0.0,-1.0,1.0,numberbar_neg,-1.5,0.5
0,1,1,1,1.0,-1.0,1.0,numberbar_neg,-1.5,0.9226802377039232
